Castaway,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14,Total,Average,Percentage,Place
Earl,4,4,1,3,5,5,4,4,5,6,3,4,4,7,59,4.21,14.60%,1
Cassandra,2,0,1,2,0,1,0,0,3,3,0,4,2,4,22,1.57,5.45%,2
Dreamz,3,5,1,2,2,1,2,4,2,2,4,6,5,5,44,3.14,10.89%,3
Yau-Man,2,2,2,1,5,1,4,1,2,2,3,8,6,7,46,3.29,11.39%,4
Boo,1,3,1,0,1,1,1,0,3,0,1,1,4,3,20,1.31,4.95%,5
Stacy,0,0,1,1,1,0,0,2,2,1,2,0,2,0,12,0.83,2.97%,6
Alex,2,2,3,4,6,3,2,8,8,0,7,7,0,0,52,4.09,12.87%,7
Mookie,0,1,1,0,1,1,3,4,5,4,5,0,0,0,25,2.00,6.19%,8
Edgardo,3,0,0,0,2,1,3,5,3,1,0,0,0,0,18,1.89,4.46%,9
Michelle,1,1,2,0,1,0,0,1,2,0,0,0,0,0,8,0.75,1.98%,10
Lisi,1,1,1,5,0,1,8,7,0,0,0,0,0,0,24,1.50,5.94%,11
Rocky,6,3,2,4,2,3,3,0,0,0,0,0,0,0,23,3.40,5.69%,12
Anthony,4,6,1,3,2,4,0,0,0,0,0,0,0,0,20,3.50,4.95%,13
Rita,2,0,2,1,0,0,0,0,0,0,0,0,0,0,5,1.33,1.24%,14
Liliana,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0.00,0.50%,15
Gary,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1.00,0.74%,16
Sylvia,4,3,4,0,0,0,0,0,0,0,0,0,0,0,11,4.00,2.72%,17
Erica,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7,5.00,1.73%,18
Jessica,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.00,0.74%,19