,Ep. 1,Ep. 2,Ep. 3,Ep. 4,Ep. 5,Ep. 6,Ep. 7,Ep. 8,Ep. 9,Ep. 10,Ep. 11,Ep. 12,Ep. 13,Ep. 14
1,1,12,8,8,5,3,8,5,8,3,4,6,12,14
2,4,1,0,5,4,3,5,2,1,4,4,3,0,5
3,1,1,0,2,0,0,0,0,0,0,0,3,2,5
4,1,0,0,1,3,3,0,0,0,1,1,5,4,4
5,1,2,2,0,2,1,0,3,0,1,5,2,0,5
6,3,1,1,2,2,1,3,5,3,0,1,4,0,1
7,2,2,1,2,0,3,1,9,1,4,2,2,1,2
8,0,1,0,2,1,0,1,1,1,0,2,1,4,1
9,2,3,2,3,0,1,2,0,2,0,2,2,1,0
10,0,0,4,0,2,5,2,2,0,4,3,1,0,0
11,0,0,3,2,4,1,0,2,2,3,0,0,0,0
12,1,0,3,2,1,2,2,0,5,2,0,0,0,0
13,0,0,0,1,2,1,5,2,0,0,0,0,0,0
14,3,0,2,1,4,5,0,0,0,0,0,0,0,0
15,0,0,0,1,3,2,0,0,0,0,0,0,0,0
16,8,2,0,3,0,0,0,0,0,0,0,0,0,0
17,3,5,5,3,0,0,0,0,0,0,0,0,0,0
18,7,4,1,0,0,0,0,0,0,0,0,0,0,0